City_ID,City_ID,Unnamed: 0,City,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,0,0,punta arenas,-53.15,-70.92,68.0,68.0,49,40,12.75
1,1,1,harlingen,26.19,-97.7,77.68,82.4,78,90,21.92
2,2,2,thompson,55.74,-97.86,5.0,5.0,77,75,2.24
3,3,3,busselton,-33.65,115.33,60.62,66.0,34,0,14.09
4,4,4,kapaa,22.08,-159.32,73.96,75.2,50,20,11.41
5,5,5,hamilton,39.18,-84.53,38.41,43.0,82,90,7.81
6,6,6,cheyenne,41.14,-104.82,22.62,28.99,63,90,5.82
7,7,7,ahipara,-35.17,173.17,84.99,84.99,54,3,17.29
8,8,8,bredasdorp,-34.53,20.04,67.14,68.0,82,33,3.36
9,9,9,sitka,57.05,-135.33,39.15,41.0,93,90,5.57
10,10,10,grindavik,63.84,-22.43,25.54,28.4,79,75,24.16
11,11,11,comodoro rivadavia,-45.87,-67.5,66.2,66.2,72,72,8.05
12,12,12,vaini,-21.2,-175.2,84.2,84.2,79,20,12.75
13,13,13,tayu,-6.54,111.05,77.49,77.49,85,100,3.56
14,14,14,harper,4.38,-7.72,77.81,77.81,90,8,4.09
15,15,15,portland,45.52,-122.68,44.17,48.2,70,40,11.41
16,16,16,isangel,-19.55,169.27,80.6,80.6,94,90,17.22
17,17,17,henties bay,-22.12,14.28,64.0,64.0,88,18,1.99
18,18,18,sao filipe,14.9,-24.5,71.55,71.55,60,32,19.39
19,19,19,cherskiy,68.75,161.3,-17.59,-17.59,70,0,9.22
20,20,20,souillac,-20.52,57.52,75.63,77.0,78,40,12.75
21,21,21,avarua,-21.21,-159.78,86.0,86.0,79,100,13.87
22,22,22,port alfred,-33.59,26.89,66.99,66.99,96,68,6.89
23,23,23,east london,-33.02,27.91,72.01,72.01,81,80,7.72
24,24,24,dundalk,39.25,-76.52,41.72,45.0,52,1,5.82
25,25,25,hobart,-42.88,147.33,64.4,66.2,59,75,13.87
26,26,26,hermanus,-34.42,19.23,67.78,70.0,94,1,16.82
27,27,27,minsk,53.9,27.57,30.2,30.2,68,29,20.13
28,28,28,rikitea,-23.12,-134.97,77.9,77.9,77,10,16.64
29,29,29,kimbe,-5.55,150.14,76.46,76.46,92,89,7.45
30,30,30,puquio,-14.7,-74.13,43.79,43.79,90,100,7.81
31,31,31,mataura,-46.19,168.86,57.99,57.99,78,55,15.99
32,32,32,nanortalik,60.14,-45.24,22.59,22.59,60,45,42.73
33,33,33,coihaique,-45.58,-72.07,71.6,71.6,43,75,9.17
34,34,34,los llanos de aridane,28.66,-17.92,62.35,66.2,68,75,16.11
35,35,35,geraldton,-28.77,114.6,71.6,71.6,40,40,10.29
36,36,36,hofn,64.25,-15.21,35.94,35.94,58,68,3.62
37,37,37,georgetown,5.41,100.34,79.52,80.6,74,20,5.82
38,38,38,ushuaia,-54.8,-68.3,60.8,60.8,51,75,11.41
39,39,39,boca do acre,-8.75,-67.4,77.83,77.83,82,78,2.37
40,40,40,cape town,-33.93,18.42,67.15,68.0,77,20,21.92
41,41,41,bengkulu,-3.8,102.27,73.65,73.65,83,90,3.44
42,42,42,butaritari,3.07,172.79,84.29,84.29,81,55,17.38
43,43,43,arraial do cabo,-22.97,-42.03,82.17,82.17,74,4,8.75
44,44,44,soyo,-6.13,12.37,79.16,79.16,82,92,3.13
45,45,45,betioky,-23.72,44.38,69.4,69.4,93,2,0.74
46,46,46,svetlyy,54.67,20.13,44.6,44.6,64,100,20.13
47,47,47,haines junction,60.75,-137.51,20.21,20.21,95,100,10.07
48,48,48,bethel,41.37,-73.41,35.65,43.0,92,75,4.7
49,49,49,cooma,-36.23,149.13,62.6,62.6,100,75,10.29
50,50,50,port elizabeth,-33.92,25.57,69.8,69.8,88,90,1.12
51,51,51,gweta,-20.18,25.23,72.68,72.68,81,100,3.44
52,52,52,tuktoyaktuk,69.45,-133.04,-23.8,-23.8,74,90,2.24
53,53,53,ust-tsilma,65.44,52.15,21.94,21.94,94,93,6.08
54,54,54,ponta do sol,32.67,-17.1,59.05,62.6,67,20,11.41
55,55,55,mar del plata,-38.0,-57.56,60.69,61.0,67,75,12.75
56,56,56,bergen,60.39,5.33,42.33,43.0,87,75,27.51
57,57,57,garmsar,35.22,52.34,43.59,43.59,43,8,12.28
58,58,58,praia da vitoria,38.73,-27.07,62.6,62.6,88,75,4.47
59,59,59,sangar,63.92,127.47,-10.89,-10.89,68,77,13.33
60,60,60,hue,16.47,107.6,69.8,69.8,94,75,3.36
61,61,61,hilo,19.73,-155.09,73.36,80.6,51,40,10.29
62,62,62,shache,38.42,77.24,30.79,30.79,48,57,4.54
63,63,63,zhigansk,66.77,123.37,-12.01,-12.01,81,100,13.4
64,64,64,paita,-5.09,-81.11,62.6,62.6,100,20,11.41
65,65,65,nome,64.5,-165.41,-5.91,-5.8,76,90,18.34
66,66,66,albany,42.6,-73.97,27.59,32.0,80,90,5.82
67,67,67,egvekinot,66.32,-179.17,-11.22,-11.22,82,72,6.76
68,68,68,chokurdakh,70.63,147.92,-29.11,-29.11,85,0,4.0
69,69,69,new norfolk,-42.78,147.06,64.29,66.2,59,75,13.87
70,70,70,pevek,69.7,170.31,-29.43,-29.43,97,59,6.64
71,71,71,hobyo,5.35,48.53,73.49,73.49,86,8,9.04
72,72,72,norman wells,65.28,-126.83,1.4,1.4,77,75,4.7
73,73,73,leningradskiy,69.38,178.42,-20.61,-20.61,91,82,15.01
74,74,74,thomaston,32.89,-84.33,51.91,55.4,57,1,3.36
75,75,75,vestmannaeyjar,63.44,-20.27,30.69,30.69,71,90,20.94
76,76,76,yumbe,3.47,31.25,76.35,76.35,40,3,1.16
77,77,77,vila do maio,15.13,-23.22,69.8,69.8,83,25,21.92
78,78,78,deputatskiy,69.3,139.9,-33.34,-33.34,71,34,2.04
79,79,79,puerto ayora,-0.74,-90.35,84.2,84.2,66,20,16.11
80,80,80,zelezniki,46.23,14.17,42.42,46.0,60,75,8.05
